context,answer,gold_question,gpt3_zero_shot,gpt3_zero_shot_bleu,gpt3_few_shot,gpt3_few_shot_bleu,llama2_zero_shot,llama2_zero_shot_bleu,llama2_few_shot,llama2_few_shot_bleu
"Stage 3 is the final stage of the bill and is considered at a meeting of the whole Parliament. This stage comprises two parts: consideration of amendments to the bill as a general debate, and a final vote on the bill. Opposition members can table ""wrecking amendments"" to the bill, designed to thwart further progress and take up parliamentary time, to cause the bill to fall without a final vote being taken. After a general debate on the final form of the bill, members proceed to vote at Decision Time on whether they agree to the general principles of the final bill.",wrecking,What type of amendments might members opposed to a bill put on the table?,What type of amendments can opposition members table during Stage 3 of the bill to potentially cause it to fall without a final vote?,0.4142697615274293,What type of amendments can opposition members table to a bill in Stage 3 to thwart further progress and take up parliamentary time?,0.42330861741392906,What type of amendments can opposition members table in Stage 3 of the bill to thwart further progress and take up parliamentary time?,0.405545155963537,"Sure, here are four questions that can be answered by the given answers based on the context:

1. What group did Paul VI address in New York in 1965?
Answer: The United Nations.
2. What did Sander's study show in terms of black law students' rankings?
Answer: Half of all black law students rank near the bottom of their class after the first year of law school.
3. What problems does linguistic anthropology bring linguistic methods to bear on?
Answer: Anthropological problems.
4. What are ""wrecking amendments"" in the context of the Scottish Parliament's stages of a bill?
Answer: Am",0.07678331565524907
"The common allotrope of elemental oxygen on Earth is called dioxygen, O
2. It is the form that is a major part of the Earth's atmosphere (see Occurrence). O2 has a bond length of 121 pm and a bond energy of 498 kJ·mol−1, which is smaller than the energy of other double bonds or pairs of single bonds in the biosphere and responsible for the exothermic reaction of O2 with any organic molecule. Due to its energy content, O2 is used by complex forms of life, such as animals, in cellular respiration (see Biological role). Other aspects of O
2 are covered in the remainder of this article.",dioxygen,What is the most common form of oxygen on the planet?,What is the common allotrope of elemental oxygen on Earth?,0.5603856602814711,What is the common allotrope of elemental oxygen on Earth?,0.5603856602814711,What is the common allotrope of elemental oxygen on Earth that is a major part of the Earth's atmosphere and is used by complex forms of life in cellular respiration?,0.2364004130381667,What is the common allotrope of elemental oxygen on Earth?,0.5603856602814711
"Since its invention in 1269, the 'Phags-pa script, a unified script for spelling Mongolian, Tibetan, and Chinese languages, was preserved in the court until the end of the dynasty. Most of the Emperors could not master written Chinese, but they could generally converse well in the language. The Mongol custom of long standing quda/marriage alliance with Mongol clans, the Onggirat, and the Ikeres, kept the imperial blood purely Mongol until the reign of Tugh Temur, whose mother was a Tangut concubine. The Mongol Emperors had built large palaces and pavilions, but some still continued to live as nomads at times. Nevertheless, a few other Yuan emperors actively sponsored cultural activities; an example is Tugh Temur (Emperor Wenzong), who wrote poetry, painted, read Chinese classical texts, and ordered the compilation of books.",Tugh Temur,The mother of which emperor was a concubine?,"Who was the Yuan Emperor known for writing poetry, painting, reading Chinese classical texts, and ordering the compilation of books?",0.14940232666837927,"Who was the Yuan Emperor known for writing poetry, painting, reading Chinese classical texts, and ordering the compilation of books?",0.14940232666837927,"Which Yuan emperor was known for his cultural pursuits, such as writing poetry, painting, and reading Chinese classical texts, and ordered the compilation of books?",0.15050636251573465,"Which Mongol emperor wrote poetry, painted, and read Chinese classical texts?",0.2254560367904161
"Luther refused to recant his writings. He is sometimes also quoted as saying: ""Here I stand. I can do no other"". Recent scholars consider the evidence for these words to be unreliable, since they were inserted before ""May God help me"" only in later versions of the speech and not recorded in witness accounts of the proceedings. However, Mullett suggests that given his nature, ""we are free to believe that Luther would tend to select the more dramatic form of words.""",recant his writings,What did Luther refuse to do?,What did Luther refuse to do?,1.0,What did Luther refuse to do?,1.0,"What did Luther refuse to do during the Diet of Worms, according to the context?",0.3402852919646182,"Sure, here's a question based on the provided context and answer:

Question: What did Luther refuse to do during the Diet of Worms?

Answer: Recant his writings.",0.16746295955671284
"The Cestida (""belt animals"") are ribbon-shaped planktonic animals, with the mouth and aboral organ aligned in the middle of opposite edges of the ribbon. There is a pair of comb-rows along each aboral edge, and tentilla emerging from a groove all along the oral edge, which stream back across most of the wing-like body surface. Cestids can swim by undulating their bodies as well as by the beating of their comb-rows. There are two known species, with worldwide distribution in warm, and warm-temperate waters: Cestum veneris (""Venus' girdle"") is among the largest ctenophores – up to 1.5 meters (4.9 ft) long, and can undulate slowly or quite rapidly. Velamen parallelum, which is typically less than 20 centimeters (0.66 ft) long, can move much faster in what has been described as a ""darting motion"".",The Cestida,Which species are ribbon-shaped planktonic animals?,What are ribbon-shaped planktonic animals with comb-rows along the aboral edge and tentilla along the oral edge?,0.352112764803997,What are ribbon-shaped planktonic animals with comb-rows along their aboral edges and tentilla along their oral edge?,0.3455968889146193,"What is the scientific name of the largest ctenophore species, which can grow up to 1.5 meters (4.9 ft) long and undulate slowly or rapidly?",0.1316582782859617,What are the ribbon-shaped planktonic animals with a pair of comb-rows along each aboral edge and tentilla emerging from a groove along the oral edge?,0.26620871587359746
"Over the next five days, private conferences were held to determine Luther's fate. The Emperor presented the final draft of the Edict of Worms on 25 May 1521, declaring Luther an outlaw, banning his literature, and requiring his arrest: ""We want him to be apprehended and punished as a notorious heretic."" It also made it a crime for anyone in Germany to give Luther food or shelter. It permitted anyone to kill Luther without legal consequence.",kill Luther,What could anyone do to Martin Luther without legal consequence?,What was permitted by the final draft of the Edict of Worms regarding Martin Luther?,0.28985183188949337,What was anyone in Germany permitted to do to Luther without legal consequence?,0.6459323924139764,"What was the penalty for anyone who killed Luther, according to the Edict of Worms?",0.304393445939918,"Context: Over the next five days, private conferences were held to determine Luther's fate. The Emperor presented the final draft of the Edict of Worms on 25 May 1521, declaring Luther an outlaw, banning his literature, and requiring his arrest: ""We want him to be apprehended and punished as a notorious heretic."" It also made it a crime for anyone in Germany to give Luther food or shelter. It permitted anyone to kill Luther without legal consequence.
Answer: kill Luther
Question: What was permitted without legal consequence according to the Edict of Worms?",0.09246947996810626
"Later in life, Tesla made claims concerning a ""teleforce"" weapon after studying the Van de Graaff generator. The press variably referred to it as a ""peace ray"" or death ray. Tesla described the weapon as capable of being used against ground-based infantry or for anti-aircraft purposes.",Van de Graaff generator,What was he studying that gave him the teleforce weapon idea?,"What device did Tesla study that inspired his claims about a ""teleforce"" weapon?",0.39589039458681485,"What did Tesla study that led to his claims about a ""teleforce"" weapon?",0.42541510275950695,What type of weapon did Tesla claim to have developed after studying the Van de Graaff generator?,0.3478870123271884,"What generator did Tesla study that led to his claims about a ""teleforce"" weapon?",0.390762829165966
"The Annual Conference, roughly the equivalent of a diocese in the Anglican Communion and the Roman Catholic Church or a synod in some Lutheran denominations such as the Evangelical Lutheran Church in America, is the basic unit of organization within the UMC. The term Annual Conference is often used to refer to the geographical area it covers as well as the frequency of meeting. Clergy are members of their Annual Conference rather than of any local congregation, and are appointed to a local church or other charge annually by the conference's resident Bishop at the meeting of the Annual Conference. In many ways, the United Methodist Church operates in a connectional organization of the Annual Conferences, and actions taken by one conference are not binding upon another.",The Annual Conference,What is the basic unit of organization within the UMC?,What is the basic unit of organization within the UMC?,1.0,What is the basic unit of organization within the UMC?,1.0,What is the basic unit of organization within the United Methodist Church?,0.6924906503234619,What is the basic unit of organization within the United Methodist Church?,0.6924906503234619
"The principal Treaties that form the European Union began with common rules for coal and steel, and then atomic energy, but more complete and formal institutions were established through the Treaty of Rome 1957 and the Maastricht Treaty 1992 (now: TFEU). Minor amendments were made during the 1960s and 1970s. Major amending treaties were signed to complete the development of a single, internal market in the Single European Act 1986, to further the development of a more social Europe in the Treaty of Amsterdam 1997, and to make minor amendments to the relative power of member states in the EU institutions in the Treaty of Nice 2001 and the Treaty of Lisbon 2007. Since its establishment, more member states have joined through a series of accession treaties, from the UK, Ireland, Denmark and Norway in 1972 (though Norway did not end up joining), Greece in 1979, Spain and Portugal 1985, Austria, Finland, Norway and Sweden in 1994 (though again Norway failed to join, because of lack of support in the referendum), the Czech Republic, Cyprus, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia and Slovenia in 2004, Romania and Bulgaria in 2007 and Croatia in 2013. Greenland signed a Treaty in 1985 giving it a special status.",Treaty of Rome 1957 and the Maastricht Treaty 1992,Which two treaties provided more formal institutions of the European Union?,What are the principal Treaties that form the European Union?,0.4740502481766631,What are the principal Treaties that form the European Union?,0.4740502481766631,What were the two major treaties that established the European Union and its current institutional framework?,0.44776062667090477,What are the names of the two major treaties that formed the European Union?,0.5807298594757175
"Rhodoplasts have a double membrane with an intermembrane space and phycobilin pigments organized into phycobilisomes on the thylakoid membranes, preventing their thylakoids from stacking. Some contain pyrenoids. Rhodoplasts have chlorophyll a and phycobilins for photosynthetic pigments; the phycobilin phycoerytherin is responsible for giving many red algae their distinctive red color. However, since they also contain the blue-green chlorophyll a and other pigments, many are reddish to purple from the combination. The red phycoerytherin pigment is an adaptation to help red algae catch more sunlight in deep water—as such, some red algae that live in shallow water have less phycoerytherin in their rhodoplasts, and can appear more greenish. Rhodoplasts synthesize a form of starch called floridean, which collects into granules outside the rhodoplast, in the cytoplasm of the red alga.",a form of starch,What is floridean?,What type of starch do rhodoplasts synthesize?,0.10682420628399376,What do rhodoplasts synthesize that collects into granules outside the rhodoplast in the cytoplasm of red algae?,0.05741676339407091,What type of starch is synthesized by rhodoplasts in red algae and collected in granules outside the rhodoplast in the cytoplasm?,0.06150061567344607,What type of starch is synthesized by rhodoplasts in red algae?,0.10722896644776936
"The principles of imperialism are often generalizable to the policies and practices of the British Empire ""during the last generation, and proceeds rather by diagnosis than by historical description"". British imperialism often used the concept of Terra nullius (Latin expression which stems from Roman law meaning 'empty land'). The country of Australia serves as a case study in relation to British settlement and colonial rule of the continent in the eighteenth century, as it was premised on terra nullius, and its settlers considered it unused by its sparse Aboriginal inhabitants.",empty land,Terra Nullius is a Latin expression meaning what in English?,"What does the Latin expression ""Terra nullius"" mean in relation to British imperialism and the settlement of Australia?",0.3199256962085862,"What does the Latin expression ""Terra nullius"" mean in relation to British imperialism?",0.4371618895968886,What was the legal concept used by the British Empire to justify their settlement and colonial rule of Australia in the 18th century?,0.08065152364077369,"Sure, here are four questions that can be answered by the given answers based on the context:

1. What group did Paul VI address in New York in 1965?
Answer: United Nations
2. What did Sander's study show in terms of black law students rankings?
Answer: half of all black law students rank near the bottom of their class after the first year of law school
3. What problems does linguistic anthropology bring linguistic methods to bear on?
Answer: anthropological
4. What was the concept used by British imperialism to justify settlement and colonial rule of the continent in the eighteenth century?
Answer: Terra nullius (empty land",0.04932507099028364
"Luther had published his German translation of the New Testament in 1522, and he and his collaborators completed the translation of the Old Testament in 1534, when the whole Bible was published. He continued to work on refining the translation until the end of his life. Others had translated the Bible into German, but Luther tailored his translation to his own doctrine. When he was criticised for inserting the word ""alone"" after ""faith"" in Romans 3:28, he replied in part: ""[T]he text itself and the meaning of St. Paul urgently require and demand it. For in that very passage he is dealing with the main point of Christian doctrine, namely, that we are justified by faith in Christ without any works of the Law. ... But when works are so completely cut away – and that must mean that faith alone justifies – whoever would speak plainly and clearly about this cutting away of works will have to say, 'Faith alone justifies us, and not works'.""",the translation,What did he work on refining until the end of his life?,What did Luther continue to work on refining until the end of his life?,0.7324947666916538,What did Luther continue to work on refining until the end of his life?,0.7324947666916538,"Question: What was the central idea that Martin Luther emphasized in his translation of the Bible, particularly in Romans 3:28?",0.15187135144299743,"Sure, here's a question based on the provided context and answer:

Context: Luther had published his German translation of the New Testament in 1522, and he and his collaborators completed the translation of the Old Testament in 1534, when the whole Bible was published. He continued to work on refining the translation until the end of his life. Others had translated the Bible into German, but Luther tailored his translation to his own doctrine. When he was criticised for inserting the word ""alone"" after ""faith"" in Romans 3:28, he replied in part: ""[T]he text itself and the meaning of St. Paul urgently require and demand",0.0763041479767493
"The addition of new rock units, both depositionally and intrusively, often occurs during deformation. Faulting and other deformational processes result in the creation of topographic gradients, causing material on the rock unit that is increasing in elevation to be eroded by hillslopes and channels. These sediments are deposited on the rock unit that is going down. Continual motion along the fault maintains the topographic gradient in spite of the movement of sediment, and continues to create accommodation space for the material to deposit. Deformational events are often also associated with volcanism and igneous activity. Volcanic ashes and lavas accumulate on the surface, and igneous intrusions enter from below. Dikes, long, planar igneous intrusions, enter along cracks, and therefore often form in large numbers in areas that are being actively deformed. This can result in the emplacement of dike swarms, such as those that are observable across the Canadian shield, or rings of dikes around the lava tube of a volcano.",Continual motion along the fault,What activity maintains topographic gradients?,What maintains the topographic gradient in spite of the movement of sediment?,0.45537773632270695,What maintains the topographic gradient despite the movement of sediment in rock units?,0.4132497558620691,"What process maintains the topographic gradient in spite of the movement of sediment, creating accommodation space for material to deposit?",0.26012894015433224,"What maintains the topographic gradient in spite of the movement of sediment, and continues to create accommodation space for the material to deposit?",0.24290904235986746
"During his second year of study at Graz, Tesla developed a passion for (and became very proficient at) billiards, chess and card-playing, sometimes spending more than 48 hours in a stretch at a gaming table.:43, 301 On one occasion at his laboratory, Tesla worked for a period of 84 hours without sleep or rest.:208 Kenneth Swezey, a journalist whom Tesla had befriended, confirmed that Tesla rarely slept. Swezey recalled one morning when Tesla called him at 3 a.m.: ""I was sleeping in my room like one dead ... Suddenly, the telephone ring awakened me ... [Tesla] spoke animatedly, with pauses, [as he] ... work[ed] out a problem, comparing one theory to another, commenting; and when he felt he had arrived at the solution, he suddenly closed the telephone.""",more than 48 hours,How long would Tesla spend gambling sometimes?,How long did Tesla sometimes spend at a gaming table?,0.6434033692861222,How long did Tesla sometimes spend at a gaming table?,0.6434033692861222,How long did Tesla spend playing games at a stretch?,0.5362195356771843,How long did Tesla spend playing games at a stretch?,0.5362195356771843
"Tesla was born on 10 July [O.S. 28 June] 1856 into a Serb family in the village of Smiljan, Austrian Empire (modern-day Croatia). His father, Milutin Tesla, was a Serbian Orthodox priest. Tesla's mother, Đuka Tesla (née Mandić), whose father was also an Orthodox priest,:10 had a talent for making home craft tools, mechanical appliances, and the ability to memorize Serbian epic poems. Đuka had never received a formal education. Nikola credited his eidetic memory and creative abilities to his mother's genetics and influence. Tesla's progenitors were from western Serbia, near Montenegro.:12",Đuka Tesla,What was Tesla's mother's name?,Who was Nikola Tesla's mother?,0.6071786196213047,Who was Nikola Tesla's mother?,0.6071786196213047,Who was Nikola Tesla's mother?,0.6071786196213047,Who was Tesla's mother?,0.6039867264333333
"The Victoria and Albert Museum (often abbreviated as the V&A), London, is the world's largest museum of decorative arts and design, housing a permanent collection of over 4.5 million objects. It was founded in 1852 and named after Queen Victoria and Prince Albert. The V&A is located in the Brompton district of the Royal Borough of Kensington and Chelsea, in an area that has become known as ""Albertopolis"" because of its association with Prince Albert, the Albert Memorial and the major cultural institutions with which he was associated. These include the Natural History Museum, the Science Museum and the Royal Albert Hall. The museum is a non-departmental public body sponsored by the Department for Culture, Media and Sport. Like other national British museums, entrance to the museum has been free since 2001.",2001,In which year did the museum started charging free admission fees?,When did the Victoria and Albert Museum start offering free entrance?,0.4368724552439465,When did the Victoria and Albert Museum start offering free entrance?,0.4368724552439465,When did the V&A Museum start offering free entrance to its visitors?,0.4368724552439465,What year did the V&A Museum start offering free entrance?,0.5030207916669159
"The serials The Deadly Assassin and Mawdryn Undead and the 1996 TV film would later establish that a Time Lord can only regenerate 12 times, for a total of 13 incarnations. This line became stuck in the public consciousness despite not often being repeated, and was recognised by producers of the show as a plot obstacle for when the show finally had to regenerate the Doctor a thirteenth time. The episode ""The Time of the Doctor"" depicted the Doctor acquiring a new cycle of regenerations, starting from the Twelfth Doctor, due to the Eleventh Doctor being the product of the Doctor's twelfth regeneration from his original set.",The Time of the Doctor,In what episode did Doctor Who get a new cycle of regenerations?,What episode depicted the Doctor acquiring a new cycle of regenerations?,0.6922473003555975,What episode depicted the Doctor acquiring a new cycle of regenerations?,0.6922473003555975,"What episode of Doctor Who depicts the Doctor acquiring a new cycle of regenerations, starting from the Twelfth Doctor?",0.43038774350743997,What episode depicted the Doctor acquiring a new cycle of regenerations?,0.6922473003555975
"The mouth of the Rhine into Lake Constance forms an inland delta. The delta is delimited in the West by the Alter Rhein (""Old Rhine"") and in the East by a modern canalized section. Most of the delta is a nature reserve and bird sanctuary. It includes the Austrian towns of Gaißau, Höchst and Fußach. The natural Rhine originally branched into at least two arms and formed small islands by precipitating sediments. In the local Alemannic dialect, the singular is pronounced ""Isel"" and this is also the local pronunciation of Esel (""Donkey""). Many local fields have an official name containing this element.",Lake Constance,The Rhine forms an inland delta into which lake?,What forms an inland delta at the mouth of the Rhine?,0.5921388926667915,What body of water does the mouth of the Rhine flow into to form an inland delta?,0.4089220288751802,What is the body of water where the mouth of the Rhine forms an inland delta?,0.4275450896571553,"Sure, here are the questions based on the given context and answers:

1. What group did Paul VI address in New York in 1965?
2. What did Sander's study show in terms of black law students' rankings?
3. What problems does linguistic anthropology bring linguistic methods to bear on?
4. What is the name of the lake where the mouth of the Rhine forms an inland delta?",0.10275516356664952
